Placa,Pais,Plot,Site,Provincia,Nro_Plot,Altitud_plot,Latitud_plot,Longitud_plot,Family,Genus,Species,Scientific_name,POM,IND3,DAP3,HT3,Code3,BA3,Year3,code notes names
2803,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.3,1,6,3.465861168,,0.002827433,2019,ID_spp
2804,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,2.05,1,6.8,4.10028893,,0.003631681,2019,ID_spp
2805,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.65,1,28.5,17.15072781,,0.063793966,2019,ID_spp
2806,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,14.9,10.46209039,,0.017436625,2019,Genus id number plot
2808,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.3,1,14.7,10.31995256,,0.016971669,2019,ID_spp
2809.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,18.8,12.98539375,,0.027759113,2019,ID_spp
2809.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,28.3,17.09220432,,0.062901754,2019,ID_spp
2810,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,9.1,5.970084771,,0.006503882,2019,Genus id number plot
2811,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,7.8,4.908787657,,0.004778362,2019,ID_spp
2812,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cunoniaceae,Weinmannia,pinnata,Weinmannia pinnata,1.3,1,6.9,4.180513759,,0.003739281,2019,ID_spp
2813.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,13.8,9.666399127,,0.014957123,2019,ID_spp
2813.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,9.7,6.459134194,,0.007389811,2019,ID_spp
2813.3,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,6,3.465861168,,0.002827433,2019,ID_spp
2813.4,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,7.2,4.422146407,,0.004071504,2019,ID_spp
2815,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,8.1,5.153265653,,0.005152997,2019,Genus id number plot
2816,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,12.1,8.375517517,,0.011499015,2019,Genus id number plot
2817,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Melastomataceae,Axinaea,macrophylla,Axinaea macrophylla,1.3,1,32.7,18.16907023,,0.08398184,2019,ID_spp
2818,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,8.7,5.643309166,,0.005944679,2019,Genus id number plot
2819,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,7,4.260905458,,0.003848451,2019,Genus id number plot
2820,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.3,1,7.1,4.341453215,,0.003959192,2019,ID_spp
2821,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cunoniaceae,Weinmannia,pinnata,Weinmannia pinnata,1.3,1,6.9,4.180513759,,0.003739281,2019,ID_spp
2822,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,7.7,4.827434832,,0.004656626,2019,ID_spp
2824,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,5.5,3.077844699,,0.002375829,2019,ID_spp
2825,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.5,1,7.2,4.422146407,,0.004071504,2019,Genus id number plot
2826,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,11.9,8.219400762,,0.011122023,2019,ID_spp
2827,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.2,1,10.7,7.267575394,,0.008992024,2019,ID_spp
2828,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,11.9,8.219400762,,0.011122023,2019,ID_spp
2829,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,6.1,3.544337564,,0.002922467,2019,Genus id number plot
2830.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.65,1,11.3,7.746499864,,0.010028749,2019,ID_spp
2830.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,13.9,9.740108792,,0.015174678,2019,ID_spp
2830.3,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,14.2,9.959625022,,0.015836769,2019,ID_spp
2830.4,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.6,1,7.9,4.990216537,,0.00490167,2019,ID_spp
2830.5,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,6.1,3.544337564,V,0.002922467,2019,ID_spp
2830.6,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Piperaceae,Piper,nubigenum,Piper nubigenum,1.3,1,6,3.465861168,V,0.002827433,2019,ID_spp
2831,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,13.9,9.740108792,,0.015174678,2019,ID_spp
2832,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Melastomataceae,Miconia,corymbiformis,Miconia corymbiformis,1.8,1,14.4,10.10459853,,0.016286016,2019,ID_spp
2833,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,9.3,6.133308284,,0.006792909,2019,ID_spp
2834,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,8.6,5.561591569,,0.005808805,2019,ID_spp
2835,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,9.6,6.377772925,,0.007238229,2019,ID_spp
2836.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,cumbalense,Hedyosmum cumbalense,1.3,0,,,K,0,2019,ID_spp
