usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,note
3056298,Acalypha diversifolia Jacq.,Acalypha diversifolia,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Acalypha,Acalypha diversifolia,6,7707728.0,220.0,1414.0,4691.0,3055964.0,3056298.0,False,Magnoliopsida,,
3893644,Aegiphila aculeifera Moldenke,Aegiphila aculeifera,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila aculeifera,6,7707728.0,220.0,408.0,2497.0,9156446.0,3893644.0,False,Magnoliopsida,,
3893622,Aegiphila alba Moldenke,Aegiphila alba,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila alba,6,7707728.0,220.0,408.0,2497.0,9156446.0,3893622.0,False,Magnoliopsida,,
7308057,Aegiphila bogotensis (Spreng.) Moldenke,Aegiphila bogotensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila bogotensis,6,7707728.0,220.0,408.0,2497.0,9156446.0,7308057.0,False,Magnoliopsida,,
3891917,Aegiphila lopez-palacii var. pubescens Moldenke,Aegiphila lopez-palacii pubescens,VARIETY,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila lopez-palacii,6,7707728.0,220.0,408.0,2497.0,9156446.0,7307890.0,True,Magnoliopsida,7307890.0,
7307804,Aegiphila novogranatensis Moldenke,Aegiphila novogranatensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila novogranatensis,6,7707728.0,220.0,408.0,2497.0,9156446.0,7307804.0,False,Magnoliopsida,,
3891526,Aegiphila monticola Moldenke,Aegiphila monticola,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Aegiphila,Aegiphila monticola,6,7707728.0,220.0,408.0,2497.0,9156446.0,3891526.0,False,Magnoliopsida,,
3092056,Aequatorium jamesonii (S.F.Blake) C.Jeffrey,Aequatorium jamesonii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Aequatorium,Aequatorium jamesonii,6,7707728.0,220.0,414.0,3065.0,3092044.0,3092056.0,False,Magnoliopsida,,
2898480,Agouticarpa williamsii (Standl.) C.H.Perss.,Agouticarpa williamsii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Agouticarpa,Agouticarpa williamsii,6,7707728.0,220.0,412.0,8798.0,2898476.0,2898480.0,False,Magnoliopsida,,
10275644,Aiouea formicaria (van der Werff & Lorea-Hern.) R.Rohde,Aiouea formicaria,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Laurales,Lauraceae,Aiouea,Aiouea formicaria,6,7707728.0,220.0,407.0,6688.0,3034063.0,10275644.0,False,Magnoliopsida,,
10479667,Aiouea palaciosii (van der Werff) R.Rohde,Aiouea palaciosii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Laurales,Lauraceae,Aiouea,Aiouea palaciosii,6,7707728.0,220.0,407.0,6688.0,3034063.0,10479667.0,False,Magnoliopsida,,
