Scientific_names,Original_names
Weinmannia silvatica,Weinmannia auriculata
Weinmannia balbisiana var. bangiana,Weinmannia balbisiana
Weinmannia balbisiana var. lamprophylla,Weinmannia balbisiana
Weinmannia balbisiana var. laurina,Weinmannia balbisiana
Weinmannia balbisiana var. moritzii,Weinmannia balbisiana
Weinmannia balbisiana var. subovata,Weinmannia balbisiana
Weinmannia lamprophylla,Weinmannia balbisiana
Weinmannia laurina,Weinmannia balbisiana
Weinmannia laurina var. pseudolaurina,Weinmannia balbisiana
Weinmannia moritzii,Weinmannia balbisiana
Weinmannia moritzii,Weinmannia balbisiana
Weinmannia pseudolaurina,Weinmannia balbisiana
Weinmannia tuerckheimii,Weinmannia balbisiana
Weinmannia pinnata var. farallonensis,Weinmannia lentiscifolia
Weinmannia pinnata var. ptaritepuiana,Weinmannia lentiscifolia
Weinmannia platyptera,Weinmannia lentiscifolia
Weinmannia burserifolia,Weinmannia pinnata
Weinmannia glabra,Weinmannia pinnata
Weinmannia hirta fo. guadalupensis,Weinmannia pinnata
Weinmannia hirta,Weinmannia pinnata
Weinmannia hirta var. antillana,Weinmannia pinnata
Weinmannia hirta var. brasiliensis,Weinmannia pinnata
Weinmannia hirtella,Weinmannia pinnata
Weinmannia hirtella,Weinmannia pinnata
Weinmannia intermedia,Weinmannia pinnata
Weinmannia intermedia var. pittieri,Weinmannia pinnata
Weinmannia laxiflora,Weinmannia pinnata
Weinmannia liebmannii,Weinmannia pinnata
Weinmannia pinnata var. caripensis,Weinmannia pinnata
Weinmannia pinnata var. ptaritepuiana,Weinmannia pinnata
Weinmannia stuebelii,Weinmannia pinnata
Weinmannia weberbaueri,Weinmannia pinnata
Windmannia fruticosa,Weinmannia pinnata
Wettinella quinaria,Wettinia quinaria
Wettinia panamensis,Wettinia quinaria
Wettinia utilis,Wettinia quinaria
Arum sagittifolium,Xanthosoma sagittifolium
Arum xanthorrhizon,Xanthosoma sagittifolium
Caladium sagittifolium,Xanthosoma sagittifolium
Xanthosoma jacquinii,Xanthosoma sagittifolium
Fagara macrosperma,Zanthoxylum quinduense
Fagara quinduensis,Zanthoxylum quinduense
Zanthoxylum macrospermum,Zanthoxylum quinduense
Fagara verrucosa,Zanthoxylum verrucosum
Fagara formicifera,Zanthoxylum formiciferum
Alicastrum utile,Brosimum utile
Brosimum allenii,Brosimum utile
Brosimum galactodendron,Brosimum utile
Brosimum humboldti,Brosimum utile
Brosimum krukovii,Brosimum utile
Brosimum longifolium,Brosimum utile
Brosimum ovatifolium,Brosimum utile
Brosimum pallescens,Brosimum utile
Brosimum rigidum,Brosimum utile
Brosimum utile subsp. ovatifolium,Brosimum utile
Galactodendrum utile,Brosimum utile
Piratinera utilis,Brosimum utile
Ficus chiribiquetensis,Ficus americana
Ficus clusiifolia,Ficus americana
Ficus corpulenta,Ficus americana
Ficus erratica,Ficus americana
Ficus eugeniifolia,Ficus americana
Ficus gleasonii,Ficus americana
Ficus grenadensis,Ficus americana
Ficus guianensis,Ficus americana
Ficus jacquiniifolia,Ficus americana
Ficus maroana,Ficus americana
Ficus martinii,Ficus americana
Ficus mathewsii,Ficus americana
Ficus mensalis,Ficus americana
Ficus metensis,Ficus americana
Ficus myriasycea,Ficus americana
Ficus niceforoi,Ficus americana
Ficus oblanceolata,Ficus americana
Ficus oerstediana,Ficus americana
Ficus parkeriana,Ficus americana
Ficus perforata,Ficus americana
Ficus sprucei,Ficus americana
Ficus umbonigera,Ficus americana
Ficus vaupesana,Ficus americana
Pharmacosycea parkeriana,Ficus americana
Urostigma clusiifolium,Ficus americana
Urostigma mathewsii,Ficus americana
Feuilleea carnosa,Inga nobilis
Feuilleea juglandifolia,Inga nobilis
Feuilleea mathewsiana,Inga nobilis
Feuilleea nobilis,Inga nobilis
Feuilleea quaternata,Inga nobilis
Inga boliviana,Inga nobilis
Inga carnosa,Inga nobilis
Inga conglomerata,Inga nobilis
Inga corymbifera,Inga nobilis
Inga humboldtiana,Inga nobilis
Inga jucunda,Inga nobilis
Inga juglandifolia,Inga nobilis
Inga loretana,Inga nobilis
Inga mathewsiana,Inga nobilis
Inga pardoana,Inga nobilis
Inga pavoniana,Inga nobilis
Inga quaternata,Inga nobilis
Inga quaternata,Inga nobilis
Inga riedeliana,Inga nobilis
Inga riedeliana var. surinamensis,Inga nobilis
Inga sericantha,Inga nobilis
Inga speciosissima,Inga nobilis
Inga superba,Inga nobilis
Inga wittiana,Inga nobilis
Pourouma aspera,Pourouma bicolor
Pourouma camaratana,Pourouma bicolor
Pourouma crassivenosa,Pourouma bicolor
Pourouma johnstonii,Pourouma bicolor
Bactris caribaea,Bactris gasipaes
Bactris ciliata,Bactris gasipaes
Bactris coccinea,Bactris gasipaes
Bactris dahlgreniana,Bactris gasipaes
Bactris insignis,Bactris gasipaes
Bactris insignis,Bactris gasipaes
Bactris macana,Bactris gasipaes
Bactris speciosa,Bactris gasipaes
Bactris speciosa var. chichagui,Bactris gasipaes
Bactris utilis,Bactris gasipaes
Guilielma caribaea,Bactris gasipaes
Guilielma chontaduro,Bactris gasipaes
Guilielma ciliata,Bactris gasipaes
Guilielma gasipaes,Bactris gasipaes
Guilielma gasipaes var. chichagui,Bactris gasipaes
Guilielma gasipaes var. chontaduro,Bactris gasipaes
Guilielma gasipaes var. coccinea,Bactris gasipaes
Guilielma gasipaes var. flava,Bactris gasipaes
Guilielma gasipaes var. ochracea,Bactris gasipaes
Guilielma insignis,Bactris gasipaes
Guilielma macana,Bactris gasipaes
Guilielma mattogrossensis,Bactris gasipaes
Guilielma microcarpa,Bactris gasipaes
Guilielma speciosa,Bactris gasipaes
Guilielma speciosa var. coccinea,Bactris gasipaes
Guilielma speciosa var. flava,Bactris gasipaes
Guilielma speciosa var. mitis,Bactris gasipaes
Guilielma speciosa var. ochracea,Bactris gasipaes
Guilielma utilis,Bactris gasipaes
Martinezia ciliata,Bactris gasipaes
Hedyosmum montanum,Hedyosmum goudotianum
Tafalla goudotiana,Hedyosmum goudotianum
